item_id,item_label,reason,overview_item_id
Q136822752,Ceòl mòr,"root item with no P279/P361 parent and no P2341/P495 value, but a Scottish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1048469
Q17004101,Haitian Gospel,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513
Q6379228,Kavigan,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513
Q60847029,léròl,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513
Q104016404,Matrouz,"root item with no P279/P361 parent and no P2341/P495 value, but a Haitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3710513
Q16669340,Kushtdepdi,"root item with no P279/P361 parent and no P2341/P495 value, but a Turkmen genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328789
Q14541561,Serbian traditional folk music,"root item with no P279/P361 parent and no P2341/P495 value, but a Serbian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2363645
Q13072955,Myanmar song,"root item with no P279/P361 parent and no P2341/P495 value, but a Burmese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328602
Q17157177,Tahitian Drumming,"root item with no P279/P361 parent and no P2341/P495 value, but a Tahitian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942287
Q1361883,Trecento Madrigal,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253
Q1980609,ballata,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253
Q1024999,caccia,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian Trecento genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2916253
Q4011325,Vidalita,"root item with no P279/P361 parent and no P2341/P495 value, but an Argentine genre missed by the automated seed/indigenous_to/country_of_origin classification",Q645992
Q16637763,tango canción,"root item with no P279/P361 parent and no P2341/P495 value, but an Argentine genre missed by the automated seed/indigenous_to/country_of_origin classification",Q645992
Q7446911,Seis,"root item with no P279/P361 parent and no P2341/P495 value, but a Puerto Rican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q427183
Q4940448,bomba,"root item with no P279/P361 parent and no P2341/P495 value, but a Puerto Rican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q427183
Q86726390,San'a,"root item with no P279/P361 parent and no P2341/P495 value, but a Yemeni genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328786
Q4936373,bodabil in the Philippines,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743
Q55608822,Dadakuada,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743
Q137299027,Pogi rock,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743
Q11348032,rhythm kayo,"root item with no P279/P361 parent and no P2341/P495 value, but a Filipino genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328743
Q1674327,Tvísöngur,"root item with no P279/P361 parent and no P2341/P495 value, but an Icelandic genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2617447
Q22947471,fkirettes,"root item with no P279/P361 parent and no P2341/P495 value, but a Maltese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942168
Q7849239,trường ca,"root item with no P279/P361 parent and no P2341/P495 value, but a Vietnamese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1156957
Q11277611,Taryeong,"root item with no P279/P361 parent and no P2341/P495 value, but a Korean genre missed by the automated seed/indigenous_to/country_of_origin classification",Q716060
Q3565141,Wahrani,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583
Q12213606,allaoui,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583
Q20726225,diwan,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583
Q3574259,Yéla,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian (Kabyle) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583
Q3098694,Gasba music,"root item with no P279/P361 parent and no P2341/P495 value, but an Algerian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328583
Q97481136,Gesellschaftslied,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758
Q1357775,Geisslerlieder,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758
Q2403744,Tenorlied,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758
Q960867,Liederspiel,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758
Q3843144,Maggio drammatico,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098
Q637696,siciliana,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian (Sicilian) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098
Q3656510,canzone genovese,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian (Genoese) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098
Q16535291,balletto,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098
Q97277870,al ala,"root item with no P279/P361 parent and no P2341/P495 value, but a Moroccan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2346484
Q56398770,Timbila,"root item with no P279/P361 parent and no P2341/P495 value, but a Mozambican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2294872
Q3853406,Mdundiko,"root item with no P279/P361 parent and no P2341/P495 value, but a Tanzanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3868600
Q4024159,Zenji flava,"root item with no P279/P361 parent and no P2341/P495 value, but a Tanzanian (Zanzibari) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3868600
Q3349878,ohangla,"root item with no P279/P361 parent and no P2341/P495 value, but a Kenyan (Luo) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3868594
Q2621158,Makwaya,"root item with no P279/P361 parent and no P2341/P495 value, but a South African genre missed by the automated seed/indigenous_to/country_of_origin classification",Q4794612
Q105320881,Malipenga,"root item with no P279/P361 parent and no P2341/P495 value, but a Malawian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942167
Q3287249,mapouka,"root item with no P279/P361 parent and no P2341/P495 value, but an Ivorian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328693
Q6748116,Mando,"root item with no P279/P361 parent and no P2341/P495 value, but a Goan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942096
Q10428865,Nanjing baiju,"root item with no P279/P361 parent and no P2341/P495 value, but a Chinese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q277393
Q3905200,Suzhou pingtan,"root item with no P279/P361 parent and no P2341/P495 value, but a Chinese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q277393
Q6758799,Tanhuang,"root item with no P279/P361 parent and no P2341/P495 value, but a Chinese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q277393
Q10295992,tanci,"root item with no P279/P361 parent and no P2341/P495 value, but a Chinese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q277393
Q10948524,Dingxian music,"root item with no P279/P361 parent and no P2341/P495 value, but a Chinese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q277393
Q5587325,Gōshū Ondo,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q11352348,Ichichubushi,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q11512436,Minshingaku,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q11375663,Kyoto kei music,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q11563285,Shonan Sound,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q11385637,Zokugaku,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q134697774,seika,"root item with no P279/P361 parent and no P2341/P495 value, but a Japanese (Ryukyuan) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q257533
Q130711854,Dikir Barat Singapura,"root item with no P279/P361 parent and no P2341/P495 value, but a Singaporean genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942275
Q4945110,Boria,"root item with no P279/P361 parent and no P2341/P495 value, but a Malaysian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328715
Q138262349,Makassarese pop music,"root item with no P279/P361 parent and no P2341/P495 value, but an Indonesian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1210921
Q11955376,Xeremiers,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish (Balearic) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q964987
Q124804770,Pasarrúas,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish (Galician) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q10334896
Q3109918,Gosos,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q964987
Q1571388,Jácara,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q964987
Q7225887,Polo,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish (Andalusian) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2742742
Q111335856,Sevillanas rocieras,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish (Andalusian) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2742742
Q9332634,sacro polo,"root item with no P279/P361 parent and no P2341/P495 value, but a Spanish (Andalusian) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2742742
Q30921682,Nordeste,"root item with no P279/P361 parent and no P2341/P495 value, but a Brazilian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q899215
Q17624127,capishca,"root item with no P279/P361 parent and no P2341/P495 value, but an Ecuadorian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942068
Q1051952,cayambe,"root item with no P279/P361 parent and no P2341/P495 value, but an Ecuadorian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942068
Q5492501,guardia nueva,"root item with no P279/P361 parent and no P2341/P495 value, but an Ecuadorian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942068
Q126953014,Amorfino,"root item with no P279/P361 parent and no P2341/P495 value, but an Ecuadorian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942068
Q134125842,Fox trot incaico,"root item with no P279/P361 parent and no P2341/P495 value, but a Peruvian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3085344
Q5185778,criolla,"root item with no P279/P361 parent and no P2341/P495 value, but a Peruvian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3085344
Q3573134,Yuka,"root item with no P279/P361 parent and no P2341/P495 value, but a Cuban genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1544863
Q7260604,Punto,"root item with no P279/P361 parent and no P2341/P495 value, but a Cuban genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1544863
Q6016603,milongón,"root item with no P279/P361 parent and no P2341/P495 value, but a Cuban genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1544863
Q106289153,Tijuana sound,"root item with no P279/P361 parent and no P2341/P495 value, but a Mexican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3397325
Q19545411,corsicana,"root item with no P279/P361 parent and no P2341/P495 value, but a Corsican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2378916
Q2956156,Occitan chanson,"root item with no P279/P361 parent and no P2341/P495 value, but an Occitan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328732
Q4698401,air à boire,"root item with no P279/P361 parent and no P2341/P495 value, but a French genre missed by the automated seed/indigenous_to/country_of_origin classification",Q672134
Q2897092,bergerette,"root item with no P279/P361 parent and no P2341/P495 value, but a French genre missed by the automated seed/indigenous_to/country_of_origin classification",Q672134
Q752047,musique mesurée,"root item with no P279/P361 parent and no P2341/P495 value, but a French genre missed by the automated seed/indigenous_to/country_of_origin classification",Q672134
Q16035064,Wallonne chanson,"root item with no P279/P361 parent and no P2341/P495 value, but a Belgian (Walloon) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2587471
Q64058224,Büchel music,"root item with no P279/P361 parent and no P2341/P495 value, but a Swiss genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2082510
Q3303902,Meddaha,"root item with no P279/P361 parent and no P2341/P495 value, but a Turkish (Ottoman) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1074080
Q12881663,Neo-Balkan music,"root item with no P279/P361 parent and no P2341/P495 value, but a Balkan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3211884
Q136434440,maizbhandari song,"root item with no P279/P361 parent and no P2341/P495 value, but a Bangladeshi genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328593
Q96373505,Bhojpuri music,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q18126823,Kilippattu,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q6981036,Natya Sangeet,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian (Marathi) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q1346068,Swang,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q2045168,jor,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q2722134,lavani,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian (Marathi) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q7417910,Sangeet Natak,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q7505953,Shyama Sangeet,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian (Bengali) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3349675
Q53724923,Patua Sangeet,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian (Bengali) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3349675
Q7681407,koothu,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian (Tamil) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q17070502
Q5957548,kaani,"root item with no P279/P361 parent and no P2341/P495 value, but a Maldivian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942377
Q5978663,loncomeo,"root item with no P279/P361 parent and no P2341/P495 value, but a Chilean (Mapuche) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3889385
Q136320857,Kiɗan garaya,"root item with no P279/P361 parent and no P2341/P495 value, but a Nigerian (Hausa) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2738838
Q17152287,Music in the Elizabethan era,"root item with no P279/P361 parent and no P2341/P495 value, but an English genre missed by the automated seed/indigenous_to/country_of_origin classification",Q110558058
Q2105045,dump,"root item with no P279/P361 parent and no P2341/P495 value, but an English genre missed by the automated seed/indigenous_to/country_of_origin classification",Q110558058
Q4849865,Balakadri,"root item with no P279/P361 parent and no P2341/P495 value, but a Guadeloupean genre missed by the automated seed/indigenous_to/country_of_origin classification",Q15221176
Q135274887,kilalaky,"root item with no P279/P361 parent and no P2341/P495 value, but a Malagasy genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1091536
Q16679167,Tchamassi,"root item with no P279/P361 parent and no P2341/P495 value, but a Beninese genre missed by the automated seed/indigenous_to/country_of_origin classification",Q10334885
Q104875944,Ladishah,"root item with no P279/P361 parent and no P2341/P495 value, but an Iranian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1672398
Q73263678,aulodia,"root item with no P279/P361 parent and no P2341/P495 value, but an ancient Greek genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1139787
Q3299089,stasimon,"root item with no P279/P361 parent and no P2341/P495 value, but an ancient Greek genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1139787
Q3678263,citarodia,"root item with no P279/P361 parent and no P2341/P495 value, but an ancient Greek genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1139787
Q12873448,Amanes,"root item with no P279/P361 parent and no P2341/P495 value, but a Greek genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1465419
Q12334212,røvballe,"root item with no P279/P361 parent and no P2341/P495 value, but a Danish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2449418
Q19703932,jytä,"root item with no P279/P361 parent and no P2341/P495 value, but a Finnish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1417976
Q65434338,mezmur,"root item with no P279/P361 parent and no P2341/P495 value, but an Ethiopian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2917508
Q6942327,music of Wales,promoted root item (no own P279 parent in Bronze - only ever referenced as parent_label of Welsh folk music / Welsh hip hop); its real Wikidata parent is the British Isles/UK region,Q268673
Q28371127,cymrucana,"root item with no P279/P361 parent and no P2341/P495 value, but a Welsh genre - its natural parent 'music of Wales' is a promoted overview item",Q6942327
Q4745455,American fiddle,"root item with no P279/P361 parent and no P2341/P495 value, but an American genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2267955
Q130554646,Brahmo sangeet,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q5024670,Calypso-style baila,"root item with no P279/P361 parent and no P2341/P495 value, but a Sri Lankan genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3328768
Q5033854,Canto livre,"root item with no P279/P361 parent and no P2341/P495 value, but a Brazilian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q899215
Q5054785,Cavalier song,"root item with no P279/P361 parent and no P2341/P495 value, but an English genre missed by the automated seed/indigenous_to/country_of_origin classification",Q110558058
Q5244903,De dragoste,"root item with no P279/P361 parent and no P2341/P495 value, but a Romanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q852210
Q1474342,Funkeado,"root item with no P279/P361 parent and no P2341/P495 value, but a Brazilian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q899215
Q120970818,Meistersang,"root item with no P279/P361 parent and no P2341/P495 value, but a German genre missed by the automated seed/indigenous_to/country_of_origin classification",Q2743758
Q7363273,Romo,"root item with no P279/P361 parent and no P2341/P495 value, but a British genre missed by the automated seed/indigenous_to/country_of_origin classification",Q268673
Q105224848,chanson swing,"root item with no P279/P361 parent and no P2341/P495 value, but a French genre missed by the automated seed/indigenous_to/country_of_origin classification",Q672134
Q5767258,chorrillera,"root item with no P279/P361 parent and no P2341/P495 value, but a Mexican genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3397325
Q3267742,madrigal comedy,"root item with no P279/P361 parent and no P2341/P495 value, but an Italian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q3679098
Q6161710,vidala,"root item with no P279/P361 parent and no P2341/P495 value, but an Argentine genre missed by the automated seed/indigenous_to/country_of_origin classification",Q645992
Q13126989,Welsh music,"root item with no P279/P361 parent and no P2341/P495 value, but a Welsh genre - its natural parent 'music of Wales' is a promoted overview item",Q6942327
Q7982016,Welsh bardic music,"root item with no P279/P361 parent and no P2341/P495 value, but a Welsh genre - its natural parent 'music of Wales' is a promoted overview item",Q6942327
Q822309,cerdd dant,"root item with no P279/P361 parent and no P2341/P495 value, but a Welsh genre - its natural parent 'music of Wales' is a promoted overview item",Q6942327
Q6348555,kaiso,"root item with no P279/P361 parent and no P2341/P495 value, but a Trinidadian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942303
Q6304912,Jugni,"root item with no P279/P361 parent and no P2341/P495 value, but a Punjabi genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942249
Q126453633,Steklåt,"root item with no P279/P361 parent and no P2341/P495 value, but a Swedish fiddle-tune genre missed by the automated seed/indigenous_to/country_of_origin classification",Q846784
Q7912528,valona,"root item with no P279/P361 parent and no P2341/P495 value, but a Panamanian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q6942240
Q18398185,Athabaskan fiddle,"root item with no P279/P361 parent and no P2341/P495 value, but an Alaska Native genre missed by the automated seed/indigenous_to/country_of_origin classification",Q16191834
Q6100475,Lazish music,"root item with no P279/P361 parent and no P2341/P495 value, but a Laz (Turkish Black Sea coast) genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1074080
Q5766737,chirimía,"root item with no P279/P361 parent and no P2341/P495 value, but a Colombian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q920883
Q13212088,Hori,"root item with no P279/P361 parent and no P2341/P495 value, but an Indian genre missed by the automated seed/indigenous_to/country_of_origin classification",Q531426
Q4456413,tesnif,"root item with no P279/P361 parent and no P2341/P495 value, but a Turkish genre missed by the automated seed/indigenous_to/country_of_origin classification",Q1074080
Q6202259,Jing ping,"root item with no P279/P361 parent and no P2341/P495 value, but a Dominica genre missed by the automated seed/indigenous_to/country_of_origin classification",Q16147503
